precinct,dist10,dist12
270050130,02A,02B
270050135,02A,02B
270050050,02A,02B
270290040,02A,02B
270290065,02A,02B
270290070,02A,02B
270290110,02A,02B
270290135,02A,02B
270290140,02A,02B
270870005,02A,02B
270870010,02A,02B
270870015,02A,02B
270870020,02A,02B
270870025,02A,02B
270870030,02A,02B
270870035,02A,02B
270870040,02A,02B
270870045,02A,02B
270870050,02A,02B
270870055,02A,02B
270870060,02A,02B
270870065,02A,02B
270870070,02A,02B
270870075,02A,02B
270870080,02A,02B
270870085,02A,02B
270870090,02A,02B
270870095,02A,02B
271070005,02A,04B
271070010,02A,04B
271070015,02A,04B
271070020,02A,04B
271070025,02A,04B
271070030,02A,04B
271070035,02A,04B
271070040,02A,04B
271070045,02A,04B
271070050,02A,04B
271070055,02A,04B
271070060,02A,04B
271070065,02A,04B
271070070,02A,04B
271070075,02A,04B
271070080,02A,04B
271070085,02A,04B
271070090,02A,04B
271070095,02A,04B
271070100,02A,04B
271070105,02A,04B
271070110,02A,04B
271070115,02A,04B
271070120,02A,04B
271070125,02A,04B
271070130,02A,04B
271070135,02A,04B
271070140,02A,04B
271070145,02A,04B
271070150,02A,04B
271070155,02A,04B
271070160,02A,04B
271070165,02A,04B
271190025,02A,01B
271190030,02A,01B
271190060,02A,01B
271190195,02A,01B
271190210,02A,01B
271190220,02A,01B
271190225,02A,01B
271190280,02A,01B
271190305,02A,01B
271190315,02A,01B
271190325,02A,01B
271190335,02A,01B
271190350,02A,01B
271190370,02A,01B
271190375,02A,01B
271190390,02A,01B
271190405,02A,01B
271190410,02A,01B
271190445,02A,01B
271190450,02A,01B
270050060,02A,04B
270570122,02B,02B
270070005,02B,02A
270070010,02B,02A
270070045,02B,02A
270070050,02B,02A
270070055,02B,02A
270070060,02B,02A
270070065,02B,02A
270070070,02B,02A
270070075,02B,02A
270070085,02B,02A
270070090,02B,02A
270070095,02B,02A
270070100,02B,02A
270070105,02B,02A
270070110,02B,02A
270070115,02B,02A
270070120,02B,02A
270070125,02B,02A
270070130,02B,02A
270070135,02B,02A
270070140,02B,02A
270070145,02B,02A
270070150,02B,02A
270070155,02B,02A
270070165,02B,02A
270070175,02B,02A
270070180,02B,02A
270070185,02B,02A
270070190,02B,02A
270070195,02B,02A
270070200,02B,02A
270070202,02B,02A
270070205,02B,02A
270070210,02B,02A
270070215,02B,02A
270070220,02B,02A
270070225,02B,02A
270070230,02B,02A
270070240,02B,02A
270070245,02B,02A
270070255,02B,02A
270070260,02B,02A
270070265,02B,02A
270070275,02B,02A
270070280,02B,02A
270070290,02B,02A
270070295,02B,02A
270070300,02B,02A
270290005,02B,02A
270290010,02B,02B
270290015,02B,02A
270290020,02B,02A
270290025,02B,02A
270290030,02B,02A
270290035,02B,02A
270290045,02B,02A
270290050,02B,02A
270290055,02B,02A
270290056,02B,02A
270290060,02B,02A
270290075,02B,02A
270290080,02B,02A
270290085,02B,02B
270290090,02B,02B
270290095,02B,02B
270290100,02B,02A
270290105,02B,02A
270290115,02B,02A
270290120,02B,02A
270290125,02B,02A
270290130,02B,02A
270570015,02B,02A
270570022,02B,02A
270570025,02B,02A
270570040,02B,02A
270570065,02B,02B
270570070,02B,02B
270570075,02B,02A
270570080,02B,02A
270570085,02B,02A
270570090,02B,02A
270570120,02B,02B
270570125,02B,02A
270570130,02B,02A
270570140,02B,02B
270570150,02B,02B
270570152,02B,02B
271130020,02B,01B
271130025,02B,01B
271130030,02B,01B
271130035,02B,01B
271130040,02B,01B
271130075,02B,01B
271130115,02B,01B
271190050,02B,01B
271190160,02B,01B
271190250,02B,01B
271190255,02B,01B
271190275,02B,01B
271190290,02B,01B
271190430,02B,01B
270610055,03A,05B
270610060,03A,05B
270610070,03A,06A
270610074,03A,06A
270610076,03A,06A
270610085,03A,05B
270610110,03A,06A
270610120,03A,06A
270610130,03A,06A
270610135,03A,06A
270610005,03A,05A
270610010,03A,05B
270610015,03A,05A
270610025,03A,05B
270610040,03A,06A
270610045,03A,06A
270610050,03A,06A
270610175,03A,05A
270610184,03A,06A
270610189,03A,06A
270610195,03A,06A
270610209,03A,05B
270610215,03A,06A
270610220,03A,05A
270770080,03A,02A
270610230,03A,05B
270610235,03A,05A
270610240,03A,06A
270610245,03A,06A
270610247,03A,06A
270610249,03A,06A
270610260,03A,06A
270610265,03A,05A
270610280,03A,06A
270610285,03A,06A
270610290,03A,05A
270610300,03A,05A
270610305,03A,05B
270610327,03A,05B
270610335,03A,06A
270610339,03A,05B
270610350,03A,05B
270610355,03A,05B
270610360,03A,06A
270610365,03A,06A
270610380,03A,05A
270710005,03A,03A
270710010,03A,03A
270710015,03A,03A
270710020,03A,03A
270710023,03A,03A
270710025,03A,03A
270710030,03A,03A
270710034,03A,03A
270710040,03A,03A
270710045,03A,03A
270710050,03A,03A
270710055,03A,03A
270710060,03A,03A
270710070,03A,03A
270710075,03A,03A
270710080,03A,03A
270710081,03A,03A
270710082,03A,03A
270710083,03A,03A
270710085,03A,03A
270710090,03A,03A
270710095,03A,03A
270710100,03A,03A
270710105,03A,03A
270710110,03A,03A
270710115,03A,03A
270710120,03A,03A
270710125,03A,03A
270710130,03A,03A
270710140,03A,03A
270710145,03A,03A
270710155,03A,03A
270710160,03A,03A
270710165,03A,03A
270710170,03A,03A
270710175,03A,03A
270770075,03A,02A
270770005,03A,02A
270770010,03A,02A
270770015,03A,02A
270770020,03A,02A
270770030,03A,02A
270770031,03A,02A
270770035,03A,02A
270770040,03A,02A
270770044,03A,02A
270770045,03A,02A
270770046,03A,02A
270770050,03A,02A
270770055,03A,02A
270770065,03A,02A
270770070,03A,02A
270010005,03B,10B
270010010,03B,10B
270010015,03B,10B
270010020,03B,10B
270010025,03B,10B
270010030,03B,10B
270010035,03B,10B
270010038,03B,10B
270010040,03B,10B
270010045,03B,10B
270010050,03B,10B
270010055,03B,10B
270010060,03B,10B
270010065,03B,10B
270010070,03B,10B
