district,total_precincts,gop_votes,dfl_votes,total_votes,gop%,dfl%,margin
46A,17,7137,11919,18480,0.3862012987012987,0.6449675324675325,0.25876623376623376
05B,57,8864,9385,17290,0.5126662810873337,0.5427993059572007,0.03013302486986702
54B,19,10106,7461,15317,0.6597897760658092,0.4871058301233923,-0.17268394594241693
58A,11,11768,6283,18014,0.6532696791384479,0.3487842788941934,-0.3044854002442545
36B,14,7022,7245,15615,0.4496958053154019,0.46397694524495675,0.014281139929554876
47B,12,13120,5483,14856,0.8831448572967151,0.3690764674205708,-0.5140683898761442
31B,12,11309,5848,16670,0.6784043191361727,0.3508098380323935,-0.3275944811037792
20,46,14596,13160,31564,0.4624255480927639,0.4169306805221138,-0.04549486757065013
09,125,17541,11406,30325,0.5784336356141797,0.3761253091508656,-0.2023083264633141
23,148,26168,2588,29418,0.8895234210347406,0.08797334964987423,-0.8015500713848663
12A,148,9681,8144,17636,0.5489339986391472,0.46178271716942615,-0.08715128146972101
05A,63,7067,7486,14916,0.47378653794583,0.5018771788683293,0.0280906409224993
47,31,20697,9675,32452,0.6377727104646863,0.2981326266485887,-0.3396400838160976
61B,15,4369,15495,20070,0.21768809167912306,0.7720478325859492,0.5543597409068262
65A,15,2011,8558,10763,0.18684381677970827,0.7951314689213045,0.6082876521415962
04A,15,7494,6990,12632,0.5932552248258391,0.5533565547815072,-0.039898670044331896
44B,19,8995,9424,17803,0.5052519238330618,0.5293489861259338,0.024097062292872007
31,28,20553,11598,32546,0.6315061758741474,0.35635715602531803,-0.27514901984882933
41B,14,6345,8791,15389,0.41230749236467606,0.5712521931249593,0.15894470076028328
46,32,12445,22007,34493,0.36079784304061696,0.6380135099875337,0.27721566694691674
54,36,15084,15718,30827,0.48931131800045413,0.5098777046095955,0.02056638660914134
49A,15,10354,8494,20135,0.514228954556742,0.42185249565433325,-0.09237645890240875
65,29,4226,16286,22232,0.19008636200071968,0.7325476790212306,0.5424613170205109
19,59,11244,16564,27917,0.40276534011534193,0.5933302288927893,0.19056488877744737
56A,11,7811,4925,13071,0.5975824343967562,0.37678830999923496,-0.22079412439752122
33,38,25316,10102,35677,0.70958881071839,0.2831516102811335,-0.42643720043725647
04B,81,5349,7349,13776,0.38828397212543553,0.5334639953542393,0.14518002322880375
10A,26,7582,6264,16327,0.4643841489557175,0.3836589698046181,-0.08072517915109939
29B,10,8898,4727,14224,0.625562429696288,0.3323256467941507,-0.2932367829021372
01A,158,9142,8945,15898,0.5750408856459932,0.5626493898603598,-0.012391495785633366
67B,15,2764,6317,9445,0.292641609317099,0.6688194812069879,0.3761778718898889
06A,62,5638,11935,17154,0.3286696980296141,0.6957560918736155,0.36708639384400144
02B,87,8514,7682,15930,0.5344632768361582,0.4822347771500314,-0.05222849968612686
42B,14,7545,9495,17606,0.4285470862206066,0.5393047824605248,0.11075769623991821
52,31,14048,18126,32213,0.4360972278272747,0.5626920808369292,0.1265948530096545
34B,15,9355,0,16182,0.5781114818934618,0.0,-0.5781114818934618
51B,13,8946,8194,17173,0.5209340243405346,0.4771443545099866,-0.043789669830547995
18A,37,11228,6028,15315,0.7331374469474371,0.39360104472739144,-0.33953640222004566
41,29,11933,16358,29798,0.40046311833008924,0.5489630176521915,0.14849989932210222
45B,13,6527,10419,16728,0.3901841224294596,0.6228479196556671,0.2326637972262075
53A,13,7160,8340,15734,0.4550654633278251,0.5300622854963772,0.07499682216855214
67,29,4618,11935,17996,0.25661258057346076,0.66320293398533,0.4065903534118693
28,98,15302,14544,29870,0.5122865751590224,0.4869099430867091,-0.025376632072313332
50A,12,5492,8562,14664,0.37452264048008727,0.5838788870703764,0.20935624659028912
04,96,11967,14339,26324,0.4546041635009877,0.5447120498404497,0.09010788633946204
60,25,5269,19093,24442,0.21557155715571558,0.7811553882660993,0.5655838311103838
60B,12,1927,8056,10287,0.1873238067463789,0.7831243316807621,0.5958005249343832
