district,total_precincts,gop_votes,dfl_votes,total_votes,gop%,dfl%,margin
37B,15,7252,7740,15015,0.482983682983683,0.5154845154845155,0.032500832500832466
16A,88,8780,7903,16704,0.5256226053639846,0.47312021072796934,-0.052502394636015304
20,47,16994,14176,31247,0.5438602105802157,0.45367555285307387,-0.09018465772714185
17B,39,7423,8985,16427,0.4518780057222865,0.5469653619041821,0.09508735618189562
54A,16,5353,9178,15391,0.3478006627249691,0.596322526151647,0.24852186342667792
65,29,4071,18064,23561,0.1727855354187004,0.7666907177114723,0.5939051822927719
26B,26,8876,8773,17665,0.5024624964619304,0.4966317577129918,-0.005830738748938635
45B,13,6416,11421,17860,0.3592385218365062,0.6394736842105263,0.28023516237402013
30,20,16331,11154,27519,0.5934445292343472,0.40531996075438786,-0.18812456847995934
56A,11,7266,5912,13204,0.5502877915783096,0.4477431081490457,-0.10254468342926393
29,30,18020,12344,30388,0.5929972357509543,0.40621297880742396,-0.18678425694353035
12,206,17284,18504,35833,0.4823486730109117,0.516395501353501,0.034046828342589264
16B,67,9655,7610,17278,0.558803102210904,0.4404444958907281,-0.11835860632017592
60,25,4619,19845,25984,0.17776323891625614,0.763739224137931,0.5859759852216749
29B,10,8367,6030,14414,0.5804773137227696,0.4183432773692244,-0.16213403635354517
46A,17,6509,12843,19392,0.3356538778877888,0.6622834158415841,0.32662953795379535
11,103,12457,18198,30719,0.40551450242520914,0.5924020964224096,0.18688759399720045
34B,15,8497,7339,16495,0.5151257956956653,0.44492270384965144,-0.07020309184601387
17A,95,7730,10020,17769,0.4350272947267713,0.5639034273172379,0.12887613259046654
28B,64,8953,9130,18135,0.49368624207333883,0.5034463744141163,0.009760132340777494
25,37,16587,10008,29858,0.5555295063299618,0.3351865496684306,-0.2203429566615312
50A,12,5313,9807,15481,0.34319488405141785,0.6334862089012337,0.2902913248498159
59,29,4697,17192,21966,0.21383046526449967,0.7826641172721479,0.5688336520076482
59A,15,1997,8230,10930,0.18270814272644098,0.7529734675205856,0.5702653247941446
63,27,6818,28341,35237,0.1934897976558731,0.8042966200300821,0.6108068223742089
21A,38,8419,8755,17225,0.488766328011611,0.5082728592162554,0.019506531204644406
27,91,11918,22991,35056,0.3399703331811958,0.6558363760839799,0.31586604290278414
07A,16,4726,11532,16331,0.2893882799583614,0.7061416937113465,0.4167534137529851
34,30,18658,13890,32580,0.57268262737876,0.4263351749539595,-0.14634745242480046
36B,14,7259,8705,15984,0.45414164164164167,0.5446071071071071,0.09046546546546547
21B,52,9590,6922,16529,0.5801923891342489,0.4187791154939803,-0.16141327364026858
01,278,1247,26942,29165,0.04275672895594034,0.9237785016286645,0.8810217726727242
43A,16,7562,9944,17524,0.4315224834512668,0.5674503538005021,0.1359278703492353
33A,15,13363,3777,17346,0.7703793381759484,0.21774472500864753,-0.5526346131673009
04A,15,7138,5145,12298,0.5804195804195804,0.41836070905838346,-0.16205887136119695
15B,25,8133,6596,14744,0.5516142159522518,0.4473684210526316,-0.10424579489962021
06,116,8506,28759,37296,0.22806735306735307,0.7711014586014586,0.5430341055341056
62A,12,950,7307,8281,0.11472044439077406,0.8823813549088274,0.7676609105180534
36,23,15315,15536,30894,0.49572732569430955,0.502880818281867,0.007153492587557486
44,32,18019,17649,35937,0.501405236942427,0.49110944152266467,-0.010295795419762332
57B,14,12896,1620,14870,0.8672494956287827,0.1089441829186281,-0.7583053127101547
61A,14,3710,16295,20059,0.18495438456553168,0.8123535570068299,0.6273991724412982
29A,20,9496,6488,15997,0.5936113021191474,0.4055760455085328,-0.18803525661061454
24,53,16468,13373,29975,0.5493911592994162,0.44613844870725605,-0.10325271059216012
12B,58,11839,4592,16441,0.7200900188553008,0.2793017456359102,-0.44078827321939057
43B,12,5223,10718,15967,0.3271121688482495,0.6712594726623662,0.3441473038141167
56,20,15528,8134,23949,0.6483778028310159,0.3396383982629755,-0.3087394045680404
55A,14,6169,5429,11618,0.530986400413152,0.46729213289722843,-0.06369426751592361
47A,19,9278,4837,14122,0.6569890950290327,0.3425152244724543,-0.3144738705565784
61B,15,4144,17156,21342,0.19417111798331926,0.8038609314965796,0.6096898135132602
40B,10,3848,7550,11416,0.3370707778556412,0.6613524877365101,0.3242817098808689
47,31,18723,12427,31177,0.6005388587740963,0.3985951181961061,-0.2019437405779902
39A,14,9874,8549,18440,0.5354663774403471,0.4636117136659436,-0.07185466377440347
21,90,15415,18126,33745,0.45680841606163874,0.5371462438879834,0.08033782782634463
