district,total_precincts,gop_votes,dfl_votes,total_votes,gop%,dfl%,margin
34A,15,10022,6013,16220,0.6178791615289766,0.37071516646115904,-0.24716399506781755
13,47,17951,12894,30874,0.5814277385502364,0.4176329597719764,-0.16379477877826004
36A,9,6905,8106,15035,0.45926172264715664,0.5391420019953442,0.07988027934818759
48A,20,9556,10672,20248,0.4719478467009087,0.5270644014223627,0.055116554721453936
60A,13,2572,12033,14761,0.1742429374703611,0.8151886728541426,0.6409457353837815
37,32,14504,17449,31990,0.45339168490153176,0.5454517036573929,0.09206001875586117
03B,19,3397,12602,16125,0.21066666666666667,0.7815193798449612,0.5708527131782946
42B,14,8617,10461,19096,0.4512463343108504,0.5478110599078341,0.09656472559698365
64,30,8518,28688,37268,0.22856069550284427,0.7697756788665879,0.5412149833637436
03,118,10498,26049,36642,0.286501828502811,0.7109055182577371,0.4244036897549261
65A,15,2115,9194,11690,0.18092386655260906,0.7864841745081266,0.6055603079555175
66A,12,5847,12120,17992,0.324977767896843,0.6736327256558471,0.34865495775900407
38,26,16862,16571,33471,0.5037793911146963,0.4950852977204147,-0.008694093394281566
42A,14,8631,9834,18492,0.46674237508111616,0.5317975340687865,0.06505515898767034
47B,12,10607,6282,16901,0.6275960002366724,0.3716939826045796,-0.2559020176320928
63B,12,3568,12165,15823,0.22549453327434746,0.7688175440814005,0.543323010807053
05A,63,5135,9932,15504,0.3312048503611971,0.640608875128999,0.3094040247678019
55B,14,9023,5905,14948,0.6036259031308536,0.39503612523414505,-0.20858977789670857
02B,86,6864,9378,16261,0.42211426111555256,0.5767172990590984,0.15460303794354585
58A,11,10406,6508,16925,0.6148301329394387,0.38451994091580505,-0.23031019202363362
45A,19,6983,9854,16858,0.41422470043896076,0.5845296001898208,0.17030489975086005
12A,148,9648,9891,19563,0.4931758932679037,0.5055973010274498,0.012421407759546144
08B,57,9071,8138,17225,0.5266182873730043,0.47245283018867923,-0.05416545718432508
62B,13,1395,11407,12851,0.10855186366819702,0.88763520348611,0.779083339817913
35B,13,10207,6483,16709,0.6108683942785326,0.3879944939852774,-0.22287390029325516
39B,19,9198,9718,18935,0.4857670979667283,0.513229469236863,0.027462371270134678
41A,15,5830,9042,15243,0.38247064226202193,0.5931903168667585,0.21071967460473656
07,34,7953,23781,31808,0.2500314386317907,0.7476421026156942,0.49761066398390347
44A,13,9633,5915,15659,0.615173382719203,0.37773804202056327,-0.2374353406986397
10,123,17660,17474,35520,0.4971846846846847,0.4919481981981982,-0.005236486486486502
61,29,7842,33469,41399,0.18942486533491146,0.8084494794560255,0.6190246141211141
31A,14,8934,6632,15589,0.5730964141381744,0.42542818654179226,-0.1476682275963821
14,44,12035,15572,27642,0.43538817741118585,0.5633456334563346,0.12795745604514874
57A,12,8116,5275,13500,0.6011851851851852,0.3907407407407407,-0.21044444444444443
43,28,12003,21698,33744,0.3557076813655761,0.6430180180180181,0.28731033665244193
31,26,17361,14220,32079,0.5411951744131674,0.44328065089310764,-0.0979145235200598
30A,13,7769,6598,14376,0.5404145798553144,0.45895937673900944,-0.08145520311630494
15A,37,7686,7321,15035,0.5112071832391087,0.48693049551047557,-0.024276687728633173
01B,123,6256,9175,15445,0.40505017805114923,0.5940433797345419,0.18899320168339268
09,124,16233,16036,32423,0.500663109521019,0.49458717577028655,-0.006075933750732454
06A,62,4149,13723,18069,0.22961979080192596,0.7594775582489346,0.5298577674470086
18,84,20187,12455,32667,0.6179630820093672,0.38127161967735024,-0.236691462332017
40,23,7223,14656,21915,0.3295916039242528,0.6687656856034679,0.33917408167921514
15,62,16598,13004,29630,0.5601754978062774,0.43887951400607494,-0.12129598380020246
50,27,13120,19846,33011,0.3974432764835964,0.6011935415467572,0.2037502650631608
32B,16,8508,8449,16975,0.5012076583210604,0.4977319587628866,-0.0034756995581737837
08A,51,9990,7191,17201,0.5807801871984187,0.41805708970408695,-0.16272309749433178
41B,14,5596,9931,16125,0.3470387596899225,0.6158759689922481,0.2688372093023256
67,29,6306,14538,20906,0.30163589400172197,0.6953984502056826,0.3937625562039606
04B,80,4232,11957,16202,0.261202320701148,0.7379953092210838,0.4767929885199358
33,37,22426,13415,37632,0.5959289965986394,0.3564785289115646,-0.2394504676870748
66,26,8783,21672,30518,0.28779736548921947,0.7101382790484304,0.42234091355921094
23A,90,11595,6527,18142,0.6391246830558924,0.35977290265681844,-0.279351780399074
18B,47,9185,6395,15594,0.5890085930486084,0.41009362575349495,-0.17891496729511347
28A,34,4739,9895,14671,0.3230181991684275,0.6744598186899325,0.35144161952150504
51A,13,8752,9177,17946,0.4876852780563914,0.5113674356402541,0.023682157583862717
25A,19,8162,6084,14263,0.5722498773049148,0.42655822758185513,-0.1456916497230597
37A,17,7560,9060,16652,0.45399951957722795,0.5440787893346145,0.09007926975738656
26A,19,6006,6925,12959,0.4634616868585539,0.5343776525966509,0.07091596573809705
50B,15,5783,11901,17778,0.3252896838789515,0.6694228822139723,0.34413319833502076
59B,14,2095,8001,10877,0.1926082559529282,0.7355888572216603,0.5429806012687322
14B,27,5393,8582,14009,0.38496680705260905,0.6126061817403098,0.22763937468770074
25B,18,7871,7830,15727,0.5004768868824315,0.4978699052584727,-0.0026069816239588373
03A,99,2118,15604,18255,0.11602300739523418,0.8547795124623391,0.7387565050671049
05B,59,3069,11619,15141,0.20269467010105013,0.7673865662769962,0.5646918961759461
53B,8,7885,6854,14751,0.5345400311843265,0.46464646464646464,-0.06989356653786183
52A,16,5126,10710,15862,0.3231622746185853,0.675198587819947,0.3520363132013617
24A,23,9068,6986,16086,0.5637200049732687,0.43429068755439515,-0.12942931741887354
28,98,12044,15599,33106,0.3638011236633843,0.47118347127408927,0.10738234761070498
26,45,14334,15854,30400,0.47151315789473686,0.5215131578947368,0.04999999999999999
19,59,13175,18102,31344,0.42033563042368555,0.5775267993874426,0.157191168963757
05,122,13140,19302,32478,0.40458156290411973,0.5943099944577868,0.18972843155366703
30B,7,7911,5018,12946,0.6110767804727328,0.3876100726093002,-0.22346670786343265
67B,15,2894,7935,10863,0.2664089109822333,0.7304611985639327,0.46405228758169936
51B,13,8900,8692,17606,0.5055094854027036,0.49369533113711234,-0.011814154265591237
51,26,16446,19046,35523,0.4629676547588886,0.5361596711989415,0.07319201644005285
64A,15,3081,12132,17434,0.1767236434553172,0.6958816106458644,0.5191579671905472
64B,15,5645,14096,19892,0.28378242509551577,0.7086265835511764,0.4248441584556606
49,33,22765,12570,40807,0.5578699732888965,0.30803538608572056,-0.24983458720317597
09B,54,7644,8605,16260,0.4701107011070111,0.5292127921279213,0.059102091020910186
20B,25,7905,8538,16458,0.48031352533722205,0.5187750637987605,0.038461538461538436
20A,22,8950,6364,15326,0.5839749445386924,0.41524207229544563,-0.16873287224324673
48,31,19057,17315,36532,0.5216522500821198,0.4739680280302201,-0.047684222051899705
23,148,20978,13946,35120,0.5973234624145786,0.39709567198177675,-0.2002277904328018
65B,14,2635,8841,11525,0.22863340563991325,0.767114967462039,0.5384815618221257
27A,50,9461,9356,18836,0.5022828626035252,0.4967084306646846,-0.005574431938840552
67A,14,2109,7375,9512,0.22171993271656854,0.775336417157275,0.5536164844407064
44B,19,9247,9145,18444,0.5013554543482975,0.49582520060724355,-0.005530253741053981
13A,25,7192,9297,16518,0.43540380191306455,0.5628405375953506,0.12743673568228603
58B,27,8287,6589,14897,0.5562865006377123,0.4423038195609854,-0.11398268107672693
11B,57,6732,8277,15044,0.447487370380218,0.5501861207125764,0.10269875033235842
60B,12,1855,8173,11131,0.16665169346869105,0.7342556823286317,0.5676039888599407
38B,12,10300,7943,18261,0.5640435901648322,0.4349707025902196,-0.1290728875746126
19A,42,7546,9637,17215,0.4383386581469649,0.5598024978216671,0.12146383967470226
54,35,11100,20676,31802,0.349034651908685,0.6501477894472045,0.30111313753851954
10A,26,7889,8607,16509,0.4778605609061724,0.5213519898237325,0.04349142891756014
39,33,18060,19031,37205,0.4854186265286924,0.5115172691842494,0.02609864265555706
42,28,15852,21488,37397,0.4238842687916143,0.5745915447763189,0.15070727598470463
22A,110,9867,7718,17598,0.5606887146266621,0.43857256506421183,-0.12211614956245032
10B,97,5102,11996,17260,0.2955967555040556,0.6950173812282735,0.3994206257242179
24B,30,6960,7050,14034,0.4959384352287302,0.5023514322359983,0.006412997007268106
04,95,8655,19736,28415,0.30459264472989617,0.694562730951962,0.3899700862220658
14A,17,7051,6230,13295,0.5303497555471982,0.46859721699887175,-0.06175253854832646
63A,15,3007,16100,19151,0.15701529946216908,0.8406871703827477,0.6836718709205786
58,38,18260,13468,31766,0.5748284329156961,0.4239753195240194,-0.15085311339167667
38A,14,7624,7494,15132,0.5038329368226275,0.49524187153053134,-0.00859106529209619
54B,19,9065,6714,16292,0.556408053032163,0.4121041001718635,-0.1443039528602995
49A,15,12133,8230,20388,0.5951049637041397,0.4036688247989013,-0.19143613890523836
53A,13,6718,10096,16833,0.3990970118220163,0.599774252955504,0.20067724113348773
32,35,14191,14894,30849,0.46001491134234496,0.4828033323608545,0.02278842101850953
19B,17,5671,8138,13847,0.40954719433812375,0.5877085289232324,0.1781613345851087
52,31,12264,21871,34182,0.3587853256099702,0.6398396817038208,0.2810543560938506
32A,19,6812,7029,13855,0.49166365932876216,0.5073258751353302,0.01566221580656807
62,25,2100,18133,21433,0.09797975085149069,0.8460318200905146,0.7480520692390239
53,21,14175,17253,31451,0.450701090585355,0.5485676131124606,0.09786652252710559
02A,105,7969,8798,16836,0.47333095747208365,0.5225706818721787,0.04923972440009505
57,26,17195,14560,31788,0.5409273939851517,0.4580344784195294,-0.08289291556562228
02,191,13456,19512,32999,0.4077699324221946,0.5912906451710658,0.18352071274887116
23B,58,9321,7838,17174,0.542739024106207,0.45638756259461977,-0.08635146151158724
06B,54,4040,15237,19299,0.20933727136121041,0.789522773200684,0.5801855018394736
16,155,17910,14182,33591,0.533178529963383,0.4221964216605638,-0.11098210830281918
40A,13,3753,6628,10397,0.36096951043570263,0.6374915841108012,0.27652207367509857
31B,12,9470,6992,16482,0.5745661934231283,0.42422036160660115,-0.15034583181652716
01A,155,7485,8859,16371,0.45721092175187833,0.541139820414147,0.08392889866226866
66B,14,2836,9366,12245,0.23160473662719477,0.7648836259697835,0.5332788893425888
35,28,16411,14388,30839,0.5321508479522682,0.4665520931288304,-0.0655987548234378
46,33,12240,24450,36806,0.33255447481388906,0.6642938651306852,0.33173939031679617
41,29,11129,20286,31484,0.35348113327404396,0.644327277347224,0.29084614407318
49B,18,10650,9868,20547,0.5183238428967732,0.48026475884557357,-0.038059084051199676
48B,11,10486,5808,16307,0.6430367326914822,0.35616606365364567,-0.28687066903783653
27B,41,6861,9336,16219,0.42302238115790125,0.5756211850299032,0.15259880387200198
09A,70,7937,8158,16116,0.4924919334822537,0.50620501365103,0.013713080168776315
11A,46,4691,10929,15643,0.29987853992200986,0.698651153870741,0.3987726139487311
13B,22,7814,6859,14689,0.5319626931717611,0.4669480563687113,-0.06501463680304986
07B,18,1015,12570,13886,0.0730952038023909,0.9052282874837966,0.8321330836814057
22B,87,7994,7649,15659,0.5105051408135897,0.48847308257232264,-0.022032058241267027
08,108,17664,17064,34753,0.5082726671078756,0.49100797053491785,-0.017264696572957705
17,134,13926,20183,34159,0.4076817237038555,0.5908545332123306,0.1831728095084751
55,28,20986,496,22123,0.948605523663156,0.0224201057722732,-0.9261854178908828
46B,16,5060,11811,16902,0.2993728552833984,0.6987930422435215,0.39942018696012305
45,32,12478,22384,34916,0.35737197846259594,0.6410814526291672,0.2837094741665712
35A,15,8537,5616,14173,0.6023424821844352,0.3962463839695195,-0.2060960982149157
56B,9,6341,6268,12622,0.5023768024084931,0.4965932498811599,-0.005783552527333258
18A,37,8950,8239,17205,0.5201976169718106,0.47887242080790465,-0.0413251961639059
33B,22,11204,5920,17334,0.6463597553940233,0.341525325949002,-0.30483442944502137
22,197,14387,18634,33212,0.43318679995182463,0.5610622666506082,0.12787546669878358
52B,15,5654,12547,18215,0.31040351358770246,0.6888278891023881,0.37842437551468566
